Version,country,ISO3,region,year,month,total_count,country,region,road_id,stableid,month,year,featureid,traffic_dir,val_dir,line_dir,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,wd_8,wd_9,wd_10,wd_11,wd_12,wd_13,wd_14,wd_15,wd_16,wd_17,wd_18,wd_19,wd_20,wd_21,wd_22,wd_23,wd_24,we_1,we_2,we_3,we_4,we_5,we_6,we_7,we_8,we_9,we_10,we_11,we_12,we_13,we_14,we_15,we_16,we_17,we_18,we_19,we_20,we_21,we_22,we_23,we_24
2019.12,Canada,CAN,Nova Scotia,2019,6,198375,100,100,79,100,100,100,100,48,100,100,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
2019.12,Canada,CAN,Manitoba,2019,1,186341,100,100,72,100,100,100,100,40,100,100,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2019.12,Canada,CAN,Saskatchewan,2019,8,373275,100,100,57,100,100,100,100,21,100,100,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2019.12,Canada,CAN,Québec,2019,1,1181812,100,100,65,100,100,100,100,42,100,100,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
2019.12,Canada,CAN,Nova Scotia,2019,7,201480,100,100,79,100,100,100,100,50,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2019.12,Canada,CAN,Nova Scotia,2019,10,196870,100,100,79,100,100,100,100,47,100,100,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
2019.12,Canada,CAN,Nunavut,2019,10,5027,100,100,23,100,100,100,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.12,Canada,CAN,Yukon,2019,10,9356,100,100,76,100,100,100,100,32,100,100,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2019.12,Canada,CAN,Newfoundland and Labrador,2019,5,76443,100,100,76,100,100,100,100,46,100,100,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
2019.12,Canada,CAN,Nunavut,2019,2,5074,100,100,23,100,100,100,100,4,100,100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2019.12,Canada,CAN,Prince Edward Island,2019,9,32627,100,100,94,100,100,100,100,58,100,100,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
2019.12,Canada,CAN,British Columbia,2019,5,671648,100,100,70,100,100,100,100,49,100,100,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
2019.12,Canada,CAN,Newfoundland and Labrador,2019,9,76217,100,100,76,100,100,100,100,44,100,100,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
2019.12,Canada,CAN,Ontario,2019,1,1740087,100,100,72,100,100,100,100,57,100,100,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
2019.12,Canada,CAN,Prince Edward Island,2019,12,29691,100,100,94,100,100,100,100,43,100,100,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
2019.12,Canada,CAN,New Brunswick,2019,2,307772,100,100,45,100,100,100,100,22,100,100,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
2019.12,Canada,CAN,Alberta,2019,11,708538,100,100,76,100,100,100,100,43,100,100,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
2019.12,Canada,CAN,Québec,2019,7,1212479,100,100,66,100,100,100,100,46,100,100,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
2019.12,Canada,CAN,Québec,2019,10,1205987,100,100,66,100,100,100,100,46,100,100,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
2019.12,Canada,CAN,Prince Edward Island,2019,4,31429,100,100,94,100,100,100,100,52,100,100,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
2019.12,Canada,CAN,Nova Scotia,2019,12,184418,100,100,78,100,100,100,100,36,100,100,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
2019.12,Canada,CAN,Manitoba,2019,10,187118,100,100,72,100,100,100,100,42,100,100,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
2019.12,Canada,CAN,Nova Scotia,2019,0,228782,100,100,81,100,100,100,100,68,100,100,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
2019.12,Canada,CAN,Manitoba,2019,11,184548,100,100,72,100,100,100,100,39,100,100,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
2019.12,Canada,CAN,Saskatchewan,2019,1,371342,100,100,56,100,100,100,100,20,100,100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2019.12,Canada,CAN,Québec,2019,11,1183810,100,100,65,100,100,100,100,43,100,100,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
2019.12,Canada,CAN,Ontario,2019,5,1764035,100,100,73,100,100,100,100,59,100,100,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
2019.12,Canada,CAN,New Brunswick,2019,6,317018,100,100,46,100,100,100,100,27,100,100,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
2019.12,Canada,CAN,Alberta,2019,9,716753,100,100,76,100,100,100,100,44,100,100,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
2019.12,Canada,CAN,British Columbia,2019,10,663248,100,100,70,100,100,100,100,48,100,100,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
2019.12,Canada,CAN,Alberta,2019,0,843298,100,100,77,100,100,100,100,69,100,100,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
2019.12,Canada,CAN,Yukon,2019,7,11023,100,100,79,100,100,100,100,56,100,100,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
2019.12,Canada,CAN,Nunavut,2019,7,5027,100,100,23,100,100,100,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
